model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids	r2	shock_quantile	weighted_ipw
main_change_ipw_wls_q0.95	delta_adl_per_year	core_disease_count_lag	0.04512923860144673	0.00376381585819367	3.995105159668292e-33	0.03775229507494642	0.05250618212794703	13285	5077	0.21594126847393735	0.95	1
main_change_ipw_wls_q0.95	delta_adl_per_year	baseline_age	0.0059130451290212325	0.0007580485379945123	6.173492515518129e-15	0.004427297296018745	0.00739879296202372	13285	5077	0.21594126847393735	0.95	1
main_change_ipw_wls_q0.95	delta_adl_per_year	sex	0.021256812936523813	0.00842036551343815	0.011587865727490721	0.004753199793521918	0.037760426079525705	13285	5077	0.21594126847393735	0.95	1
main_change_ipw_wls_q0.95	delta_adl_per_year	education_c	-0.01660289080902651	0.0021956528187345335	3.978032197723568e-14	-0.020906291256300048	-0.012299490361752975	13285	5077	0.21594126847393735	0.95	1
main_change_ipw_wls_q0.95	delta_adl_per_year	residence_rural_w1	0.029936976674408117	0.008467261076579084	0.00040682687264429737	0.013341449916615268	0.046532503432200965	13285	5077	0.21594126847393735	0.95	1
main_change_cluster_ols_q0.975	delta_adl_per_year	Intercept	-0.3563118936726025	0.05377797232909899	3.458161206606211e-11	-0.46171478259922816	-0.2509090047459769	13285	5077	0.21436813702351376	0.975	0
main_change_cluster_ols_q0.975	delta_adl_per_year	C(interval)[T.2013-2015]	0.0710679281504499	0.009959405379671733	9.625371604459543e-13	0.051547852298858846	0.09058800400204096	13285	5077	0.21436813702351376	0.975	0
main_change_cluster_ols_q0.975	delta_adl_per_year	C(interval)[T.2015-2018]	0.04850315027446227	0.00827699014872953	4.628712106526859e-09	0.032280547682559564	0.06472575286636498	13285	5077	0.21436813702351376	0.975	0
main_change_cluster_ols_q0.975	delta_adl_per_year	log_oop_raw_lag	0.0020486790441993402	0.001288060034757483	0.11171872560807065	-0.00047587223385073697	0.004573230322249417	13285	5077	0.21436813702351376	0.975	0
main_change_cluster_ols_q0.975	delta_adl_per_year	oop_shock_q0_975_lag	0.02423877435455148	0.03293491879463052	0.4617551977711001	-0.04031248031667567	0.08879002902577862	13285	5077	0.21436813702351376	0.975	0
